Type (Required),Name (Required),Latitude (Required),Longitude (Required),Description,Label Only or Popup (Required),Watershed,Notes (not mapped)
Body of Water,Buena Vista Lagoon,33.171653,-117.350988,,Label Only,Carlsbad,
Body of Water,Aqua Hedionda Lagoon,33.14348,-117.329089,,Label Only,Carlsbad,
Body of Water,Batiquitos Lagoon,33.089995,-117.298022,"Batiquitos Lagoon is a coastal wetland and marine protected area featuring hiking trails, ample bird life, and a nature center.",Label Only,Carlsbad,
Body of Water,San Elijo Lagoon,33.00655,-117.267186,,Label Only,Carlsbad,
Body of Water,Los Penasquitos Creek,32.933732,-117.164673,,Label Only,Penasquitos,
Body of Water,Otay River,32.589364,-117.056288,,Label Only,Otay,
Body of Water,Lower Otay Reservoir,32.635717,-116.929277,,Label Only,Otay,
Body of Water,Chollas Creek,32.69446,-117.123191,,Label Only,Pueblo San Diego,
Body of Water,San Diego River,32.771747,-117.149734,,Label Only,San Diego,
Body of Water,Lake Cuyamaca,32.987613,-116.582134,,Label Only,San Diego,
Body of Water,El Capitan Reservoir,32.884089,-116.792702,,Label Only,San Diego,
Body of Water,Lake Jennings,32.857015,-116.889461,,Label Only,San Diego,
Body of Water,Lake Murray,32.786434,-117.044564,,Label Only,San Diego,
Body of Water,San Dieguito River,32.976833,-117.239759,,Label Only,San Dieguito,
Body of Water,Lake Hodges,33.069771,-117.11505,,Label Only,San Dieguito,
Body of Water,San Luis Rey River,33.209319,-117.380924,,Label Only,San Luis Rey,
Body of Water,Sweetwater River,32.653403,-117.095311,,Label Only,Sweetwater,
Body of Water,Hansen Reservoir,34.270987,-118.388079,,Label Only,Sweetwater,
Body of Water,Tijuana River,32.561436,-117.10212,,Label Only,Tijuana,
Protected Water Body,Batiquitos Lagoon State Marine Conservation Area,33.08827,-117.292924,San Diego County's northernmost MPA. Great spot for birdwatching and short hikes.,Popup,Carlsbad,
Protected Water Body,Swami's State Marine Conservation Area,33.02302,-117.316294,A marine protected area and popular surf spot,Popup,Carlsbad,
Protected Water Body,San Elijo Lagoon State Marine Conservation Area,33.00931,-117.275024,A marine protected area and one of San Diego's largest wetlands,Popup,Carlsbad,
Protected Water Body,San Dieguito Lagoon State Marine Conservation Area,32.96616,-117.252219,A marine protected area in the heart of Del Mar,Popup,San Dieguito,
Protected Water Body,San Diego-Scripps Coastal Coastal State Marine Conservation Area,32.867841,-117.25583,An MPA adjacent to world-famous Scripps Institution of Oceanography,Popup,Penasquitos,
Protected Water Body,Matlahuayl State Marine Reserve,32.858043,-117.265811,"An MPA protecting the marine life of La Jolla Cove. Named for the Kumeyaay word meaning ""place of the caves.""",Popup,Penasquitos,
Protected Water Body,South La Jolla State Marine Reserve,32.814861,-117.289572,An MPA off the coast of Bird Rock,Popup,Penasquitos,
Protected Water Body,South La Jolla State Marine Conservation Area,32.813947,-117.331818,An offshore MPA adjacent to South La Jolla State Marine Reserve,Popup,Penasquitos,
Protected Water Body,Famosa Slough State Marine Conservation Area,32.751438,-117.228384,A small urban wetland MPA great for birdwatching ,Popup,San Diego,
Protected Water Body,Cabrillo State Marine Reserve,32.667495,-117.247371,An MPA known for rocky tidepools and views of migrating whales,Popup,Pueblo San Diego,
Protected Water Body,Tijuana River Mouth State Marine Conservation Area,32.549951,-117.137571,An MPA off the coast of the beautiful Tijuana River Estuary,Popup,Tijuana,
Coastkeeper Project Site,,,,,,,
Coastkeeper Project Site,,,,,,,
Coastkeeper Project Site,,,,,,,
Coastkeeper Project Site,,,,,,,
Coastkeeper Project Site,,,,,,,
Coastkeeper Project Site,,,,,,,
Coastkeeper Project Site,,,,,,,
Coastkeeper Project Site,,,,,,,
Coastkeeper Project Site,,,,,,,
Coastkeeper Project Site,,,,,,,
