OBJECTID,HUNAME,X,Y
1,Amos-Ogilby,-114.975153,32.98260899
2,Anza Borrego,-116.2527073,33.0703863
3,Cadiz,-115.3823314,34.27564433
4,Carlsbad,-117.1915981,33.13756442
5,Chuckwalla,-115.3582256,33.7727917
6,Clark,-116.3234594,33.39894058
7,Colorado,-114.7208509,33.65026206
8,Dale,-115.9086549,34.15139316
9,Davies,-116.0251924,32.63840025
10,East Salton,-115.6342777,33.54728363
11,Hayfield,-115.6268634,33.68017811
12,Imperial,-115.5207659,32.97378106
13,Joshua Tree,-116.3138019,34.11636508
14,Otay,-116.9045489,32.64535809
15,Penasquitos,-117.1436744,32.89847276
16,Pueblo San Diego,-117.1184086,32.72008886
17,Rice,-114.7999785,34.00801523
18,Salton Sea,-115.8207516,33.3179684
19,San Diego,-116.8354426,32.91652889
20,San Diego Bay,-117.1555782,32.67014765
21,San Dieguito,-116.915722,33.09298244
22,San Gabriel River,-117.9084022,34.08405717
23,San Jacinto Valley,-117.0105364,33.81341448
24,San Juan,-117.5271558,33.51563718
25,San Luis Rey,-116.9276616,33.29262472
26,Santa Ana River,-117.4405618,33.98746849
27,Santa Margarita,-117.0081769,33.49602199
28,Sweetwater,-116.8013313,32.78101497
29,Tijuana,-116.566578,32.69977739
30,Ward,-115.0242489,34.40112625
31,West Salton,-116.0096581,33.27656804
32,Whitewater,-116.3494264,33.77935233
33,Yuma,-114.6407485,32.84013536
